Model:	LI-7810
SN:	TG10-01166
Software Version:	2.0.22
Timestamp:	2021-04-08 14:26:25
Timezone:	Europe/Berlin
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1617884992	540813922	841	256	2021-04-08	14:29:52	nan	nan	nan	101.559	25.6405	101.63	43.5378	0	0	26.2469	-16000	0	23.6368	 35
DATA	1617884997	290813922	860	256	2021-04-08	14:29:57	nan	nan	nan	101.557	25.6936	101.629	43.5378	0	0	26.3072	-16000	0	23.636	 46
DATA	1617884998	290813922	864	256	2021-04-08	14:29:58	nan	nan	nan	101.557	25.7116	101.629	43.5378	0	0	26.3277	-16000	0	23.6356	103
DATA	1617884999	40813922	867	256	2021-04-08	14:29:59	nan	nan	nan	101.558	25.7277	101.63	43.5378	0	0	26.345	-16000	0	23.6355	206
DATA	1617885005	540507078	893	256	2021-04-08	14:30:05	nan	nan	nan	101.554	25.8455	101.625	43.5378	0	0	26.4797	-16000	0	23.636	 24
DATA	1617885006	790507078	898	256	2021-04-08	14:30:06	nan	nan	nan	101.555	25.8694	101.627	43.5378	0	0	26.5068	-16000	0	23.636	 38
DATA	1617885007	40507078	899	256	2021-04-08	14:30:07	nan	nan	nan	101.553	25.8754	101.627	43.5378	0	0	26.5135	-16000	0	23.6344	 21
DATA	1617885012	40179014	919	256	2021-04-08	14:30:12	nan	nan	nan	101.549	25.9573	101.621	43.5378	0	0	26.6055	-16000	0	23.636	208
DATA	1617885014	540179014	929	256	2021-04-08	14:30:14	nan	nan	nan	101.546	26.0069	101.617	43.5378	0	0	26.6609	-16000	0	23.636	  9
DATA	1617885016	289915084	936	256	2021-04-08	14:30:16	nan	nan	nan	101.546	26.0366	101.615	43.5378	0	0	26.6945	-16000	0	23.636	 27
